"dir","folder","X","frame_number","sequence_id","sequence_id_original","type","distance","number_of_points","image_name","file_last_mod_date","DateTimeOriginal","ImageWidth","ImageHeight","pair_id","hb","ht","length","xb","yb","xt","yt","xg","yg","pixlen","pdl","mpdl","err"
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",8,3,62,7,"cal",4.5,1,"IMG_0053.JPG",NA,"2019:12:17 15:58:35",1000,750,"H1R0_04/IMG_0053.JPG",0.1,0.9,0.8,526.275768,549.2739102,530.2176748,314.7304519,525.78302965,578.5918424875,234.576581227845,1319.49326940663,1333.3333332,-0.0104342962700679
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",10,4,64,9,"cal",4.5,1,"IMG_0063.JPG",NA,"2019:12:17 15:58:44",1000,750,"H1R0_04/IMG_0063.JPG",0.1,0.9,0.8,152.4515806,546.6459723,157.0504719,310.1315606,151.8767191875,576.2102737625,236.559118917421,1330.64504391049,1333.3333332,-0.0020182522689634
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",12,5,66,11,"cal",6,1,"IMG_0071.JPG",NA,"2019:12:17 15:58:51",1000,750,"H1R0_04/IMG_0071.JPG",0.1,0.9,0.8,145.2247513,493.4302296,148.1466248,315.6829288,144.8595171125,515.6486422,177.771314577003,1333.28485932752,1333.3333332,-3.63560652369283e-05
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",14,6,68,13,"cal",6,1,"IMG_0079.JPG",NA,"2019:12:17 15:58:59",1000,750,"H1R0_04/IMG_0079.JPG",0.1,0.9,0.8,510.4418697,489.963669,508.3273668,315.8969125,510.7061825625,511.7220135625,174.079599152067,1305.5969936405,1333.3333332,-0.0210216697917819
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",16,7,70,15,"cal",6,1,"IMG_0089.JPG",NA,"2019:12:17 15:59:11",1000,750,"H1R0_04/IMG_0089.JPG",0.1,0.9,0.8,846.7587312,495.8342444,848.5624738,317.3728552,846.533263375,518.14191805,178.470504348929,1338.52878261696,1333.3333332,0.00388901503142214
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",40,19,94,39,"cal",7.5,1,"IMG_0094.JPG",NA,"2019:12:17 15:59:24",1000,750,"H1R0_04/IMG_0094.JPG",0.1,0.9,0.8,519.6598597,463.1265823,528.8396128,324.487334,518.5123905625,480.4564883375,138.942826501284,1302.58899844954,1333.3333332,-0.0233282510967266
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",18,8,72,17,"cal",9,1,"IMG_0102.JPG",NA,"2019:12:17 15:59:48",1000,750,"H1R0_04/IMG_0102.JPG",0.2,0.9,0.7,516.2252318,426.9133319,512.0604278,325.1192749,516.7458323,439.637589025,101.879220810122,1146.14123411388,1333.3333332,-0.151281220715709
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",20,9,74,19,"cal",9,1,"IMG_0116.JPG",NA,"2019:12:17 16:00:01",1000,750,"H1R0_04/IMG_0116.JPG",0.1,0.9,0.8,848.0191214,443.728991,847.6036933,325.0065462,848.0710499125,458.5692966,118.723171621193,1335.63568073842,1333.3333332,0.00172527151682214
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",22,10,76,21,"cal",10.5,1,"IMG_0120.JPG",NA,"2019:12:17 16:00:04",1000,750,"H1R0_04/IMG_0120.JPG",0.1,0.9,0.8,854.8909882,428.2921103,851.4760504,326.0147245,855.317855425,441.076783525,102.334380568116,1343.13874495652,1333.3333332,0.00732714957514126
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",24,11,78,23,"cal",10.5,1,"IMG_0123.JPG",NA,"2019:12:17 16:00:14",1000,750,"H1R0_04/IMG_0123.JPG",0.1,0.9,0.8,514.7992932,425.8387551,516.3858852,326.6767514,514.6009692,438.2340055625,99.1746956232954,1301.66788005575,1333.3333332,-0.0240356455475608
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",26,12,80,25,"cal",12,1,"IMG_0132.JPG",NA,"2019:12:17 16:00:42",1000,750,"H1R0_04/IMG_0132.JPG",0.4,0.9,0.5,512.9558985,385.3906394,513.3969253,330.0661727,512.60307706,429.65021276,55.3262245257864,1327.82938861887,1333.3333332,-0.00413650197637485
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",28,13,82,27,"cal",13.5,1,"IMG_0150.JPG",NA,"2019:12:17 16:01:22",1000,750,"H1R0_04/IMG_0150.JPG",0.1,0.9,0.8,148.1348671,410.8105386,151.3080511,331.4809351,147.7382191,420.7267390375,79.3930418120194,1339.75758057783,1333.3333332,0.00480661522830131
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H1R0_04","H1R0_04",30,14,84,29,"cal",15,1,"IMG_0158.JPG",NA,"2019:12:17 16:01:49",1000,750,"H1R0_04/IMG_0158.JPG",0.1,0.9,0.8,853.5288687,400.5349147,851.6506529,329.5042067,853.763645675,409.4137532,71.0555358404441,1332.29129700833,1333.3333332,-0.000781832695379703
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H4R0_02","H4R0_02",39,19,134,38,"cal",1.75,1,"IMG_0132.JPG",NA,"2019:11:16 15:57:32",1000,750,"H4R0_02/IMG_0132.JPG",0.3,0.9,0.6,462.5,673.6111111,425,216.6666667,481.25,902.0833333,458.480616022122,1146.20154005531,1333.3333332,-0.151228605598875
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H4R0_02","H4R0_02",3,1,98,2,"cal",1.5,1,"IMG_0145.JPG",NA,"2019:11:16 15:57:43",1000,750,"H4R0_02/IMG_0145.JPG",0.3,0.9,0.6,751.3754455,690.8896472,762.0056521,198.1668323,746.0603422,937.25105465,492.837471805197,1232.09367951299,1333.3333332,-0.0789671715654977
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H4R0_02","H4R0_02",5,2,100,4,"cal",3,1,"IMG_0146.JPG",NA,"2019:11:16 15:57:56",1000,750,"H4R0_02/IMG_0146.JPG",0.1,0.9,0.8,33.46629522,622.0402587,45.24999567,297.7610197,31.99333266375,662.575163575,324.493267176246,1216.84975191092,1333.3333332,-0.0914167237239488
"C:/Users/rowcliffe.m/OneDrive - Zoological Society of London/CameraTrapping/REM/Calibration/Mytool2018/Hoge Veluwe test/Images/H4R0_02","H4R0_02",7,3,102,6,"cal",3,1,"IMG_0169.JPG",NA,"2019:11:16 15:58:06",1000,750,"H4R0_02/IMG_0169.JPG",0.4,0.9,0.5,474.7006374,517.2429035,470.7543506,313.6145068,477.85766684,680.14562086,203.666632323806,1221.99979394284,1333.3333332,-0.0871933802252749
